index,size,user,Population_woman,Population_man,under10,10대,20대,30대,40대,50대,60대,70대,80대,90대,transit_count,도서시설,전시시설,공연시설,지역문화활동시설,total
57,,8635,28493,28432,8203,10670,7782,11053,15895,16614,18314,11573,7527,588,8,2,6,1,0,9
58,4410,170,27862,26291,5618,8653,8190,8195,13655,18857,18811,12822,8560,770,1,3,3,3,1,10
59,3542,4453,137917,130652,34162,51792,73982,60300,74944,85680,78535,38419,22217,1360,7,8,11,4,2,25
60,3392,19625,139455,132203,34537,52392,75324,61636,76055,86075,78516,38360,22021,1359,12,9,13,4,2,28
61,1523,2420,139133,131909,34504,52340,75279,61590,75986,85915,78311,38261,21911,1359,2,9,13,4,2,28
62,5828,49998,359412,356570,105280,140161,190179,190774,227461,236021,186106,78665,36071,2297,6,12,13,3,4,32
63,2809,9553,355350,351996,101029,137508,188918,185633,222746,234467,185685,78675,36230,2287,6,12,13,3,4,32
64,3718,5920,8811,8802,1243,1787,2048,2285,3444,5904,8472,5688,4079,527,6,1,3,1,1,6
65,5000,,3964,3819,404,330,978,1180,1167,2572,3903,2728,2454,195,9,1,1,1,1,4
66,1772,3345,4833,4975,1625,1744,1965,1933,2800,4080,4822,2618,1529,116,1,1,0,1,1,3
67,24493,62664,84410,85760,21643,34966,43864,39402,53846,56607,49720,22848,12778,1236,4,3,7,2,1,13
68,11454,4746,367934,376529,129967,161882,208760,233225,258421,226027,150952,58925,26116,1639,18,11,8,5,2,26
69,2699,,335058,342991,113302,140985,187022,205372,227161,205489,139451,53989,25155,1768,12,11,9,4,0,24
70,4942,22103,109354,119178,41090,41829,60301,75348,75037,66549,47735,19728,9273,495,9,2,0,1,1,4
71,2225,,312223,318364,107734,132552,176674,197849,214525,193353,131225,50521,23490,1737,10,10,11,5,0,26
72,,29,706644,660988,148969,199429,342173,329967,385689,452625,467150,247866,93248,5068,27,13,16,4,10,43
73,11050,,1190289,1100855,239215,360086,641321,596540,680442,770373,684291,374858,152211,5379,21,51,23,13,8,95
74,4760,5859,13395,13146,2118,3258,3107,3575,5703,8873,11924,7519,5303,486,8,1,1,1,1,4
75,3490,150,209364,215335,51857,78206,97896,106599,135813,161849,127767,47504,15780,981,0,6,4,2,3,15
76,4967,,20131,22469,4726,7030,8338,7868,11569,15047,15280,8599,5513,450,1,2,2,1,2,7
77,1808,,136503,132583,36907,55433,74120,61218,83550,89513,77391,39413,16657,1089,6,6,5,2,1,14
78,6568,,58869,61390,23252,25978,24113,32257,46605,43830,33848,14090,6044,616,19,4,9,1,2,16
79,1493,,5976,5974,726,1780,1319,1203,2364,4350,5152,3616,2538,249,6,1,2,1,3,7
80,945,,4348,4449,526,632,766,1058,1422,2894,3882,2666,1884,170,6,1,2,1,0,4
81,4687,,9653,9263,1854,1989,1556,2291,4077,5587,6589,5635,3764,277,2,2,6,1,1,10
82,2508,,114109,117217,28865,38651,45273,46175,64676,78498,69858,40831,16274,1235,11,5,1,3,1,10
83,541,,28031,26469,5669,8799,8194,8203,13738,19245,19094,12972,8735,795,12,3,3,3,1,10
84,764,502,27862,28720,9809,9047,11331,15730,17719,18572,17707,8851,4548,215,5,3,1,1,2,7
85,3151,,711103,683602,203921,246140,326257,414468,466142,462651,384336,178048,59543,2920,3,26,9,8,4,47
86,1925,4081,2016801,1870683,450289,613012,1099379,1139929,1217060,1246980,1084362,572824,201553,6471,17,77,46,24,14,161
87,1343,,699655,662091,225497,305919,318830,369434,502224,445727,288246,150966,61580,3966,18,22,16,10,3,51
88,1185,20266,1994512,1814682,387168,532197,1150094,1108020,1115229,1226270,1079336,600171,246942,6811,14,74,135,33,17,259
89,,,1957762,1789255,396741,546651,1144027,1113296,1132123,1205072,1033892,575796,230613,6632,35,81,138,37,16,272
90,4160,2342,57043,56487,13142,19829,24815,21152,30941,40202,40156,19859,9954,513,4,5,3,1,3,12
91,6622,5672,190330,184669,63171,80112,87800,93731,122989,127630,91716,43929,19656,1776,5,6,16,6,11,39
92,,,180013,175035,60599,76465,82249,89117,116811,120757,86613,41507,18157,1616,10,6,15,6,9,36
93,8606.8,32575,188087,182660,62526,79517,86940,93001,121381,125245,89558,42316,18662,1664,2,6,15,6,11,38
94,5811.56,20130,180251,175277,60688,76590,82347,89211,116977,120891,86723,41542,18164,1616,14,6,15,6,9,36
95,34042,,6759,6786,2203,2656,2339,2801,4288,4443,3313,1773,985,168,0,0,6,1,0,7
96,879.45,,166147,161174,55958,70568,75855,81932,107819,110297,79943,38872,17121,1465,0,5,16,6,9,36
97,1955,,179534,174544,60781,76858,83191,89480,117232,121384,86499,41181,17955,1560,10,6,15,6,9,36
98,1067,2389,37457,36068,8027,12951,11950,11841,20832,26220,23521,15584,10042,889,4,3,2,3,2,10
99,2017,1987,38755,37345,8194,13210,12260,12079,21352,26910,24611,16441,10473,961,8,3,3,3,2,11
100,6271,593,5771,5944,1133,1971,1599,2189,3501,4640,5000,2916,1462,64,6,1,3,1,3,8
101,6749.2,962,311473,298679,80680,123995,165617,142434,186183,202166,161350,85468,39445,3192,6,13,18,8,6,45
102,486.5,,322194,308919,83707,129360,170087,146003,192746,207628,165383,87867,41080,3313,10,13,17,8,6,44
103,3080.79,4015,329759,316241,85990,132747,173210,149597,197888,212943,170194,90843,42612,3379,18,13,17,8,6,44
104,8595.041,31952,336060,322724,88467,135928,176349,153078,202655,216941,172298,91580,42982,3471,15,16,17,9,8,50
