index,size,user,Population_woman,Population_man,under10,10대,20대,30대,40대,50대,60대,70대,80대,90대,transit_count,도서시설,전시시설,공연시설,지역문화활동시설,total
46,493,3736,2073887,1911565,435167,614383,1135009,1190531,1231697,1271004,1094250,588307,205871,6462,15,87,108,37,15,247
47,1840,84871,1558604,1410431,316797,418497,902193,879253,879893,941841,814304,461340,197457,5526,12,62,124,29,17,232
48,140,3000,1480310,1376401,311516,435942,801679,775509,853554,943495,834082,450002,177475,5800,9,58,24,16,11,109
49,1363,23617,1666569,1563396,354276,474593,999530,1041015,992781,1007372,854913,462001,165674,5103,33,55,42,23,10,130
50,888,3240,2120728,1942639,434388,584315,1292134,1291627,1232002,1247482,1049386,590282,229099,6197,11,68,131,31,16,246
51,882,3000,1494281,1388574,302392,432034,825081,785612,851462,956466,849736,461543,183980,6015,25,62,41,19,12,134
52,22826,576437,842534,769701,182095,247587,381718,381389,480965,525442,531666,305395,118983,6155,34,22,18,8,10,58
53,15312,256375,397721,384633,96086,118704,183417,190791,229218,253071,267921,138956,51312,3277,7,6,6,1,7,20
54,305,5819,802425,740273,170838,232261,367377,363815,445442,513043,528403,288341,109170,6296,13,23,18,9,14,64
55,1728,15530,817157,745676,176278,235713,360570,370168,464175,506612,511563,294031,113752,5753,13,22,15,8,10,55
56,1019,656,593856,555380,142941,185787,259961,270669,342121,382777,380616,199057,74098,4694,16,12,14,7,8,41
57,609,,778992,728992,145461,212454,384520,347500,417343,491874,528394,304174,119229,6341,28,15,23,7,21,66
58,858,84452,1161431,1075538,233075,322441,528054,517742,636485,729590,775304,440227,168241,9028,36,28,30,12,28,98
59,2239,5200,1001924,920602,205971,287573,457352,445917,558311,623687,649411,376543,146202,7129,41,26,27,10,24,87
60,1089,5014,704225,664807,137121,199833,350223,315977,384993,452270,485900,276273,107031,5475,26,14,23,6,20,63
61,13636,124995,867140,820214,198602,292045,413888,386065,508094,597419,516915,269401,111162,5011,3,31,14,13,13,71
62,16970,220088,531411,498748,121676,184872,242635,229511,312919,353071,304616,170490,76787,4029,2,15,8,3,7,33
63,803,41458,784749,741391,166689,253005,377131,342892,452274,545248,477479,260164,110963,5226,4,32,15,12,12,71
64,2373,10779,880587,832625,192316,291228,418543,383684,507693,607424,531391,279942,116344,5197,8,33,14,15,13,75
65,3685,9962,745928,734925,184623,257136,361881,382440,464586,500589,427049,195786,76983,4763,0,27,19,13,12,71
66,5593,20530,736624,729588,200386,252648,350481,401656,472071,493011,419522,187908,72327,4241,7,22,19,14,13,68
67,380,1590,31765,31905,6635,9854,9937,11326,16379,21825,23878,13030,7442,691,7,2,7,0,2,11
68,566,,21625,21065,4429,6464,5751,7265,10446,14021,17856,10873,6592,608,4,2,6,0,1,9
69,1986,12000,11127,12080,1664,2876,2885,3736,5576,8177,10610,5668,3050,364,4,0,4,0,0,4
70,13330,130000,682046,656427,185814,270454,363667,323010,428419,449109,337020,173223,72903,5181,6,25,24,15,13,77
71,983,12346,481825,458587,121800,173865,255089,224175,283447,309417,259730,142643,59245,3663,8,17,25,8,9,59
72,318,,524504,499722,131629,190107,279826,244825,312080,343223,282708,153274,63803,4143,4,20,27,14,12,73
73,232,23461,345714,328831,89597,126850,178692,163555,210996,227158,184812,101060,42907,3068,4,12,8,10,10,40
74,569,2000,466359,442016,112079,163219,249899,215346,270962,302807,260468,145063,61035,4026,9,17,26,11,11,65
75,1222,19593,423040,401305,98883,144824,225728,191649,240620,269391,239323,137032,58719,3929,4,16,22,7,11,56
76,605,2077,421735,399950,97851,142966,223805,190128,238080,266791,237463,136349,58606,3929,4,16,22,7,11,56
77,221,3700,578213,552324,152155,217045,307590,273856,352195,378041,301215,160661,67133,4517,6,21,27,14,13,75
