index,size,user,Population_woman,Population_man,under10,10대,20대,30대,40대,50대,60대,70대,80대,90대,transit_count,도서시설,전시시설,공연시설,지역문화활동시설,total
1102,994,13770,5870,5483,499,1397,1545,1581,2610,4528,5115,3387,2109,98,7,1,0,0,0,1
1103,3968,208990,39272,38223,11770,13971,14347,17240,24362,28870,23789,11007,5913,556,9,1,1,1,1,4
1104,536,19511,16284,15566,2377,4715,6311,5385,8016,12131,13508,8086,4277,295,12,1,0,1,2,4
1105,1333,59449,3174,3165,361,726,642,574,1207,1995,2227,1554,1068,60,7,1,0,0,0,1
1106,4826,157620,21910,21846,5047,8875,10049,9698,13595,17582,12988,4211,1391,73,9,1,0,0,0,1
1107,2942,50444,6625,6292,2160,3060,2272,2689,4426,4484,3875,2154,1127,69,8,1,0,0,2,3
1108,5258,282011,23138,25344,8573,10935,18100,18420,17883,11363,5896,1783,1137,191,10,1,0,0,0,1
1109,5069,115935,25148,28382,9830,13134,12781,17363,22591,18239,8918,2382,881,65,5,1,0,0,0,1
1110,8395,139539,31705,31356,9497,13010,11122,14910,19550,23185,18607,8003,4496,413,8,2,1,1,0,4
1111,3716,102525,22774,24508,6361,8743,12201,12437,15885,18713,10197,3209,1127,73,14,1,1,0,0,2
1112,7278,116624,21789,21356,4624,9325,10097,8177,11700,14943,14285,7448,4210,397,6,1,1,1,3,6
1113,4891,6418,10937,11046,1938,2308,3359,3897,5038,6020,7182,4586,2345,110,10,1,0,0,0,1
1114,2322,143995,15119,14219,2449,3484,3735,4249,6304,9599,12955,8499,5599,349,7,2,0,1,1,4
1115,1669,12445,2105,1856,428,665,601,811,1319,1595,1812,1408,899,112,0,1,0,0,0,1
1116,2530,47913,17130,16299,2588,3714,4099,4322,6958,11306,15082,10206,6605,451,7,3,0,1,1,5
1117,428,30000,5204,5024,801,1249,1417,1520,2611,4210,4758,2849,1637,110,14,2,0,1,1,4
1118,1898,24454,19890,18618,4336,5809,7487,6563,10383,13259,14783,8545,5725,630,11,1,1,1,1,4
1119,3470,86611,32724,30673,9419,12162,12369,13588,20329,22385,20317,10533,4443,127,6,2,0,0,0,2
1120,2177,48891,11867,11238,2420,3153,3912,3985,5781,7654,7656,3986,2337,203,4,1,1,1,1,4
1121,1338,43326,26151,25068,3890,8334,9268,6740,12299,17197,20300,12683,6890,434,3,2,0,2,1,5
1122,4392,155610,20187,19281,4810,5769,7116,7666,10800,13934,14019,8181,4517,322,8,1,0,1,2,4
1123,8273,221762,10703,10201,898,1858,1754,1770,3180,5217,8555,6205,4775,470,8,1,0,1,0,2
1124,245,21438,2304,2422,365,1138,533,670,1089,1427,1599,1172,689,110,5,1,0,0,0,1
1125,2362,6030,2839,2616,1548,811,1060,2178,2224,2670,2622,1317,1039,119,5,1,0,1,0,2
1126,1229,27614,1839,1631,128,101,210,337,433,1044,2209,1431,1079,112,2,1,0,0,0,1
1127,1121,20000,5176,4612,437,1041,702,778,1547,2952,4377,3421,2766,291,5,2,0,0,1,3
1128,1605,9279,1770,1736,321,348,344,529,679,1064,1160,706,537,76,2,1,0,1,0,2
1129,1419,80352,14132,14867,3633,6292,6101,5773,10127,12427,7648,3035,1501,62,7,1,0,0,0,1
1130,960,94553,13350,15611,3455,5255,5575,7965,11442,9619,5600,2373,1197,102,10,1,0,0,0,1
1131,2208,122746,9095,9075,1881,2313,2233,3049,4834,6368,7536,4461,2639,190,5,1,1,0,1,3
1132,1856,231538,43215,44234,10991,16541,17622,18009,24287,31134,30505,15193,6622,512,8,3,0,1,0,4
1133,1171,73927,20324,21181,6597,10032,10747,9600,13357,17266,14963,6042,2212,124,7,2,0,0,0,2
1134,1743,108229,41852,42995,10553,14009,16028,19510,25452,31303,30217,14372,4776,322,13,3,0,2,0,5
1135,670,33526,23597,26431,6364,9564,9532,10986,17131,16363,15102,6022,2216,73,19,1,0,0,0,1
1136,2509,34226,2168,2127,153,262,316,436,884,1282,1260,1074,677,36,8,1,0,0,1,2
1137,1210,58243,4307,4169,1557,1665,1461,2245,3389,3205,2223,972,343,5,6,1,0,0,1,2
1138,9812,1494443,42214,40189,8717,13226,14616,17599,23100,31065,32295,15676,5683,261,22,1,0,1,1,3
1139,745,71328,35082,36720,9934,14682,17454,16946,22448,28103,25469,11224,3638,213,5,4,0,2,0,6
1140,3004,335803,26704,29777,9481,13606,9554,14783,23606,20624,13451,3771,811,6,8,2,1,1,0,4
1141,974,59421,17791,17477,2387,4190,3827,4010,7033,12102,14342,9526,7296,674,21,2,1,2,1,6
