index,시설명,size,user,latitude,longitude,Population_woman,Population_man,under10,10대,20대,30대,40대,50대,60대,70대,80대,90대,transit_count,도서시설,전시시설,공연시설,지역문화활동시설,total
539,부천시립오정도서관,2305,80818,37.5280248,126.7962235,64231,63327,12597,21224,34085,31405,38266,51955,42222,16003,6211,194,14,4,1,1,1,7
540,부천시립원미도서관,4396,147098,37.4980642,126.7982812,80875,78076,16436,23448,43578,43238,46726,56691,51890,22873,8266,658,5,2,2,0,2,6
541,부천시립꿈여울도서관,3907,74544,37.5153855,126.805572,67789,66565,12860,21555,34863,32123,39395,52736,44556,17377,6800,272,13,4,3,1,1,9
542,부천시립책마루도서관,1593,58854,37.4939274,126.7700946,171124,162177,37902,52021,86248,95405,101689,116253,103000,40428,14650,1144,22,5,0,2,1,8
543,부천시립한울빛도서관,3200,160667,37.4677896,126.7965515,72821,69009,17391,21670,31851,38059,40953,46114,44008,18812,6296,376,28,2,1,0,1,4
544,부천시립별빛마루도서관,6206,430924,37.4651126,126.8199948,52774,49648,19870,19553,21189,30571,37562,30907,28751,11758,3711,240,6,1,0,0,0,1
545,논골도서관,286,24237,37.4562032,127.159963,90691,87947,17594,24208,42000,43561,49456,57192,53119,25721,8155,250,12,5,1,1,0,7
546,판교도서관,10271,540677,37.3920616,127.0902689,26977,25630,10142,12548,11001,14347,20477,19006,11427,3615,722,0,7,2,1,1,0,4
547,해오름도서관,4255,141024,37.4415888,127.1594565,108770,109391,22844,31049,55652,61024,65276,77252,71014,34448,11218,247,16,5,1,1,0,7
548,성남시구미도서관,6824,457533,37.345453,127.1076854,83380,77145,23914,28468,34417,46020,52412,50500,36349,19129,8199,692,15,4,0,1,0,5
549,성남시복정도서관,2905,162830,37.4637524,127.1278405,55495,53083,16940,17657,33328,40052,37608,35336,29093,13462,4365,386,4,3,0,0,0,3
550,성남시분당도서관,8525,585372,37.3581499,127.1166272,79328,72621,20329,33093,34691,45351,56068,50825,33651,17155,8609,650,14,2,0,1,0,3
551,성남시수정도서관,7922,250632,37.4521901,127.1529729,115816,114764,23385,31866,57819,61210,67687,78408,71133,35127,11515,341,7,5,1,1,2,9
552,성남시운중도서관,1930,151367,37.3899728,127.0750756,22186,21158,9562,9759,7387,12322,17045,13742,8804,2837,561,0,22,2,0,1,0,3
553,성남시중앙도서관,13018,526648,37.4040575,127.1347922,66216,62153,19752,23515,29358,38305,42170,42909,34576,15544,5905,316,3,1,2,1,0,4
554,성남시중원도서관,13164,357144,37.4302651,127.1402409,97836,100010,19643,26159,50791,57119,57718,66837,61691,30081,10224,346,8,2,0,1,2,5
555,성남시 서현도서관,12599,452603,37.3835533,127.1324319,74093,69550,21382,36605,31896,35618,53150,51632,32313,14192,6529,281,14,2,0,2,2,6
556,성남시 위례도서관,842,174797,37.4713243,127.1422983,78912,75066,32693,29804,36966,52630,56255,47310,36667,14389,3994,321,16,5,0,0,0,5
557,성남시무지개도서관,775,161979,37.3395633,127.1208689,71280,65790,20297,27390,36126,39243,46919,46191,32104,17896,8433,736,12,3,0,2,0,5
558,성남시 책테마파크도서관,493,6505,37.3792516,127.148167,38453,37091,12173,17646,19598,23959,29390,28083,19190,8472,3531,110,0,2,0,1,0,3
559,성남시중원어린이도서관,10560,118815,37.4475657,127.1631352,97418,96903,19283,26938,49126,53178,56583,68162,63406,31112,9919,204,11,5,1,1,0,7
560,성남시판교어린이도서관,6273,383670,37.3872888,127.1079571,71736,66254,21732,32499,31749,38373,50967,48820,29770,12383,5233,228,10,1,1,2,0,4
561,사랑샘도서관,542,20779,37.29568,127.0361104,60005,59893,15545,23927,39520,38095,41102,41066,30902,14544,5876,394,10,4,5,0,0,9
562,희망샘도서관,417,42848,37.2484764,126.9736733,26867,26602,7683,9019,11342,13579,15476,16214,12823,5185,1725,75,6,1,0,0,0,1
563,수원시선경도서관,8562,188846,37.2839421,127.0105543,97452,96768,24103,29039,55084,60044,60296,69166,57775,28760,11664,575,7,5,3,2,2,12
564,수원시영통도서관,4136,349202,37.257188,127.0720221,75364,77679,23908,31267,42599,48102,51630,44719,23636,7129,2376,128,15,2,1,0,0,3
565,수원시일월도서관,3903,236210,37.2863684,126.9766478,80665,82319,19667,34292,52959,40020,51570,57963,37810,15134,5497,121,20,3,0,0,0,3
566,수원시중앙도서관,2712,88702,37.2735867,127.0120825,87164,87583,21448,21949,49326,57309,51519,58997,50308,24346,8954,283,5,4,3,1,2,10
567,수원시창룡도서관,4337,134516,37.2909707,127.0278518,72389,72037,15512,21797,42640,42114,44654,49648,41133,20480,8571,529,15,4,5,0,0,9
