city,small,name,address,size,user,latitude,longitude,Population_woman,Population_man,under10,10대,20대,30대,40대,50대,60대,70대,80대,90대,transit_count,도서시설,전시시설,공연시설,지역문화활동시설,total
강원,춘천시,춘천문화원,강원특별자치도 춘천시 퇴계농공로 40(퇴계동),"1,671","90,000",37.8494997,127.7435051,18284.0,16920.0,5460.0,9296.0,8136.0,8007.0,12792.0,12919.0,9827.0,4242.0,2170.0,124.0,15.0,0.0,0.0,0.0,1.0,1.0
강원,태백시,태백문화원,강원특별자치도 태백시 태백로 1136,"1,052","1,000",37.1371815,129.0011426,2618.0,2638.0,0.0,0.0,34.0,53.0,14.0,186.0,223.0,61.0,44.0,12.0,6.0,1.0,0.0,0.0,0.0,1.0
강원,평창군,평창문화원,강원특별자치도 평창군 평창읍 문화예술길 53,,"10,000",37.3618745,128.3907591,1120.0,1104.0,67.0,101.0,153.0,154.0,340.0,813.0,1359.0,871.0,443.0,31.0,4.0,1.0,0.0,1.0,1.0,3.0
강원,홍천군,홍천문화원,강원특별자치도 홍천군 홍천읍 연봉중앙로 11-8,778,"5,000",37.6825302,127.8774469,5922.0,5741.0,2082.0,2222.0,2953.0,3037.0,3932.0,4319.0,3570.0,1629.0,691.0,34.0,4.0,1.0,1.0,2.0,1.0,5.0
강원,화천군,화천문화원,강원특별자치도 화천군 하남면 용화산로 1357,"1,703","15,000",38.0903565,127.6976716,500.0,542.0,98.0,136.0,186.0,114.0,220.0,224.0,391.0,181.0,77.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0
강원,횡성군,횡성문화원,강원특별자치도 횡성군 횡성읍 앞들서3로 6,"2,253","10,000",37.4879823,127.9760526,3186.0,3202.0,314.0,779.0,814.0,804.0,1135.0,2144.0,2736.0,1454.0,838.0,58.0,2.0,2.0,0.0,1.0,1.0,4.0
강원특별자치도,정선군,고한 복합문화센터,강원특별자치도 정선군 고한읍 고한 9길 81,4840.11,,37.2029743,128.8543191,888.0,1097.0,92.0,128.0,146.0,141.0,309.0,505.0,581.0,266.0,111.0,0.0,6.0,0.0,0.0,0.0,1.0,1.0
강원특별자치도,양구군,국토정중앙면 생활문화센터,강원특별자체도 양구군 국토정중앙면 삼팔선로 15,,"3,018",38.1084164,128.0344225,184.0,246.0,30.0,58.0,23.0,75.0,137.0,172.0,143.0,81.0,28.0,0.0,6.0,0.0,0.0,0.0,1.0,1.0
강원특별자치도,평창군,달빛 생활문화센터,강원특별자치도 평창군 봉평면 덕거리 387-3,705.23,"4,500",37.6427108,128.3950004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0
강원특별자치도,영월군,덕포생활문화센터,강원특별자치도 영월군 영월읍 덕포하리2길 18,,"2,000",37.1760327,128.4762807,2439.0,2447.0,596.0,777.0,755.0,904.0,1226.0,2043.0,2202.0,987.0,565.0,5.0,7.0,0.0,0.0,0.0,1.0,1.0
강원특별자치도,양구군,동면생활문화센터,강원특별자치도 동면 금강산로 1699,875.6,660,38.202912,128.0435948,244.0,242.0,220.0,238.0,134.0,204.0,270.0,180.0,147.0,54.0,13.0,0.0,6.0,0.0,0.0,0.0,1.0,1.0
강원특별자치도,동해시,동해시 생활문화센터,강원특별자치도 동해시 천곡2길 8,717.7,"20,000",37.5244346,129.1125297,10911.0,10693.0,2352.0,2879.0,3377.0,3637.0,5229.0,6352.0,5779.0,2733.0,1076.0,92.0,5.0,0.0,0.0,1.0,2.0,3.0
강원특별자치도,양구군,방산면 생활문화센터,강원특별자치도 양구군 방산면 평화로5135-4,399.2,300,38.2090081,127.9461255,247.0,250.0,439.0,307.0,92.0,226.0,420.0,72.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,2.0
강원특별자치도,정선군,북평 생활문화센터,강원특별자치도 정선군 북평면 북평3길 73,208.24,300,37.4470789,128.6647358,348.0,340.0,60.0,86.0,41.0,79.0,197.0,137.0,154.0,48.0,12.0,0.0,7.0,0.0,0.0,0.0,1.0,1.0
