index,시설명,size,user,latitude,longitude,Population_woman,Population_man,under10,10대,20대,30대,40대,50대,60대,70대,80대,90대,transit_count,도서시설,전시시설,공연시설,지역문화활동시설,total
41,평촌아트홀,893,8604,37.3795866,126.9642881,584495,565097,158330,207659,282957,324614,361410,410515,333010,133932,54564,3245,14,24,9,8,6,47
42,평창문화예술회관,624,,37.3618745,128.3907591,4540,4721,242,414,608,666,1341,3491,5271,3064,1680,96,4,1,0,1,1,3
43,파주운정행복센터,,15829,37.7238773,126.7512267,465013,438986,137363,184030,206888,239374,308471,328967,219057,94638,50788,3345,8,21,5,4,6,36
44,파주시민회관,3672,2220,37.7586499,126.7806156,316849,308961,100387,124859,138953,168524,213424,221991,152627,68809,35263,2693,11,16,1,3,4,24
45,트라이보울,3159,6254,37.3941,126.635,503357,501666,146706,194915,250888,273424,338366,333550,260062,113151,44984,2831,13,19,16,8,8,51
46,통진두레문화센터,455,2998,37.6957124,126.5868302,97458,99099,38667,39534,37070,59562,73585,57378,49009,23372,9305,648,3,3,5,1,1,10
47,통영시민문화회관,9768,2878,34.8412374,128.4295051,54470,53652,11597,20018,15689,18972,33323,38773,39670,20969,8363,435,7,4,4,2,1,11
48,통영국제음악당,7753,19377,34.8261198,128.4396986,54171,53418,11622,19968,15383,18835,33335,38416,39187,20660,8350,430,2,4,4,2,1,11
49,토당청소년수련관,1878,,37.6247462,126.8279137,864635,793472,211715,278832,404378,477201,533285,565641,456657,219409,98341,4620,10,22,17,5,4,48
50,태안군문화예술회관,991,4943,36.754777,126.3126245,19919,20176,3516,5474,7200,6425,9793,13880,14482,9811,5857,553,3,2,1,1,2,6
51,태백문화예술회관,4339,5177,37.1716436,128.9876701,20925,21070,3705,6274,5457,6147,11800,15235,17157,10628,4923,315,8,3,2,1,2,8
52,칠곡군교육문화회관,10041,2597,35.9914658,128.4176131,27198,27781,7481,7444,7319,12146,16719,18186,19460,11329,7049,552,3,2,3,1,2,8
53,충청북도학생교육문화원,,527,36.688144,127.49251,326283,328385,101485,127640,174633,183409,210862,210782,167900,72568,34614,2396,0,14,14,3,3,34
54,충주시문화회관,5753,19212,36.9721298,127.9351457,81448,81802,19197,30778,39492,34241,47639,56995,52179,25487,13833,830,21,4,5,2,2,13
55,충무아트센터,5057,382647,37.56731,127.0163823,1986182,1819254,405610,569813,1147923,1122053,1159132,1217408,1031903,573192,224959,6328,27,85,135,37,16,273
56,충남학생교육문화원,,,36.8095636,127.1569601,335051,343701,114296,144506,193281,209447,229876,207928,141845,55328,25820,1836,9,11,9,4,0,24
57,충남도청 문예회관,,8635,36.6878778,126.6710991,28493,28432,8203,10670,7782,11053,15895,16614,18314,11573,7527,588,8,2,6,1,0,9
58,춘향문화예술회관,4410,170,35.4022564,127.3900696,27862,26291,5618,8653,8190,8195,13655,18857,18811,12822,8560,770,1,3,3,3,1,10
59,춘천인형극장,3542,4453,37.9148987,127.7227653,137917,130652,34162,51792,73982,60300,74944,85680,78535,38419,22217,1360,7,8,11,4,2,25
60,춘천문화예술회관,3392,19625,37.8724395,127.729498,139455,132203,34537,52392,75324,61636,76055,86075,78516,38360,22021,1359,12,9,13,4,2,28
61,축제극장 몸짓,1523,2420,37.8704329,127.7377902,139133,131909,34504,52340,75279,61590,75986,85915,78311,38261,21911,1359,2,9,13,4,2,28
62,청주예술의전당,5828,49998,36.6420769,127.470627,359412,356570,105280,140161,190179,190774,227461,236021,186106,78665,36071,2297,6,12,13,3,4,32
63,청주아트홀 (구. 청주시민회관),2809,9553,36.6372435,127.4698625,355350,351996,101029,137508,188918,185633,222746,234467,185685,78675,36230,2287,6,12,13,3,4,32
64,청양문예회관,3718,5920,36.4561719,126.8005894,8811,8802,1243,1787,2048,2285,3444,5904,8472,5688,4079,527,6,1,3,1,1,6
65,청송군문화예술회관,5000,,36.430565,129.0560218,3964,3819,404,330,978,1180,1167,2572,3903,2728,2454,195,9,1,1,1,1,4
66,철원군 화강문화센터,1772,3345,38.2449042,127.4276558,4833,4975,1625,1744,1965,1933,2800,4080,4822,2618,1529,116,1,1,0,1,1,3
67,천안예술의전당,24493,62664,36.7560975,127.2261615,84410,85760,21643,34966,43864,39402,53846,56607,49720,22848,12778,1236,4,3,7,2,1,13
68,천안시청 봉서홀,11454,4746,36.8091364,127.1063221,367934,376529,129967,161882,208760,233225,258421,226027,150952,58925,26116,1639,18,11,8,5,2,26
69,천안시시민문화여성회관 신부분관(신부문화회관),2699,,36.817556,127.1592166,335058,342991,113302,140985,187022,205372,227161,205489,139451,53989,25155,1768,12,11,9,4,0,24
70,천안시성환문화회관,4942,22103,36.9127009,127.1368564,109354,119178,41090,41829,60301,75348,75037,66549,47735,19728,9273,495,9,2,0,1,1,4
71,천안박물관,2225,,36.7838753,127.1640569,312223,318364,107734,132552,176674,197849,214525,193353,131225,50521,23490,1737,10,10,11,5,0,26
